dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
U2OS_ars_G3BP1_bp_wt;CPAP;WAHR;U-2 OS;arsenite;bp;3;bp_fanci;4;medium
HeLa_ars_G3BP1_fanci_wt;CPAP;WAHR;HeLa;arsenite;fanci;3;bp_fanci;4;medium
HEK293T_ars_G3BP1_pl_wt;CPD;WAHR;HEK293T;arsenite;pl;11;bp_pl_fanci;12;high
HEK293T_sorb_G3BP1_pl_wt;CPD;WAHR;HEK293T;sorbitol;pl;11;bp_pl_fanci;12;high
Tcell_stim_G3BP1_bp_wt;CPD;WAHR;T cell;stimulation;bp;11;bp_pl_fanci;12;high
U2OS_ars_G3BP1_bp_wt;CPD;WAHR;U-2 OS;arsenite;bp;11;bp_pl_fanci;12;high
U2OS_ars_PABPC1_bp_wt;CPD;WAHR;U-2 OS;arsenite;bp;11;bp_pl_fanci;12;high
HeLa_ars_G3BP1_fanci_wt;CPD;WAHR;HeLa;arsenite;fanci;11;bp_pl_fanci;12;high
HeLa_heat_G3BP1_fanci_wt;CPD;WAHR;HeLa;heatshock;fanci;11;bp_pl_fanci;12;high
HeLa_osm_G3BP1_fanci_wt;CPD;WAHR;HeLa;osmosis;fanci;11;bp_pl_fanci;12;high
HeLa_UV_G3BP1_fanci_wt;CPD;WAHR;HeLa;UV-light;fanci;11;bp_pl_fanci;12;high
SKNBE_ars_G3BP1_bp_FUS;CPD;WAHR;SK-N-BE;arsenite;bp;11;bp_pl_fanci;12;high
SKNBE_ars_G3BP1_bp_FUS-P525L;CPD;WAHR;SK-N-BE;arsenite;bp;11;bp_pl_fanci;12;high
HEK293T_ars_G3BP1_pl_wt;CPE;WAHR;HEK293T;arsenite;pl;1;pl;1;low
U2OS_ars_G3BP1_bp_wt;CPEB2;WAHR;U-2 OS;arsenite;bp;5;bp_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;CPEB2;WAHR;HeLa;arsenite;fanci;5;bp_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;CPEB2;WAHR;HeLa;heatshock;fanci;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;CPEB2;WAHR;HeLa;UV-light;fanci;5;bp_fanci;6;medium
SKNBE_ars_G3BP1_bp_FUS-P525L;CPEB2;WAHR;SK-N-BE;arsenite;bp;5;bp_fanci;6;medium
U2OS_virus_G3BP1_bp_wt;CPEB3;WAHR;U-2 OS;virus;bp;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;CPEB3;WAHR;HeLa;UV-light;fanci;5;bp_fanci;6;medium
SKNBE_ars_G3BP1_bp_FUS;CPEB3;WAHR;SK-N-BE;arsenite;bp;5;bp_fanci;6;medium
SKNBE_ars_G3BP1_bp_FUS-P525L;CPEB3;WAHR;SK-N-BE;arsenite;bp;5;bp_fanci;6;medium
SMMC_ars_G3BP1_bp_wt;CPEB3;WAHR;SMMC-7721;arsenite;bp;5;bp_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;CPEB4;WAHR;HeLa;arsenite;fanci;5;bp_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;CPEB4;WAHR;HeLa;heatshock;fanci;5;bp_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;CPEB4;WAHR;HeLa;osmosis;fanci;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;CPEB4;WAHR;HeLa;UV-light;fanci;5;bp_fanci;6;medium
SKNBE_ars_G3BP1_bp_FUS-P525L;CPEB4;WAHR;SK-N-BE;arsenite;bp;5;bp_fanci;6;medium
